Age,GS,G,STL,BLK,PF,Two_Pt_Pct,Three_Pt_Pct,FT_PCt,TS_PCt,Three_Pt_Att,FTr,Assist_Pct,Steal_Pct,Block_Pct,Turnover_Pct,Usage_Pct,ORtg,DRtg,Rising_Star
23,50.33333333,59,0.8,0.6,2.1,0.61,0.31,0.7,0.57,0.42,0.24,7.4,2.4,2,20.8,10.1,119,106,0
24,60,60,0.5,1.9,1.7,0.56,0.2,0.69,0.59,0.01,0.43,7.4,0.7,4,13.9,23.8,112,100,1
24.66666667,0,16.33333333,0.8,0.3,0.8,0.73,0.37,0.92,0.51,0.45,0.2,13.3,5.9,3.3,24.3,24.8,95,116,0
23,21.33333333,48.33333333,0.7,0.5,2.7,0.47,0.33,0.94,0.53,0.47,0.54,21.3,1.9,1.8,16.5,19.6,106,119,0
24,12,63.66666667,0.3,0.4,2,0.53,0.32,0.83,0.56,0.22,0.19,7.3,1,2,13,22.1,103,109,0
24,0,15,0.2,0.1,0.8,0.29,0.37,0.25,0.46,0.67,0.06,4.3,0.7,0.4,9.7,17.3,88,113,0
20,81.66666667,81.66666667,1,0.6,2.3,0.49,0.36,0.76,0.54,0.18,0.44,10.6,1.5,1.3,11.7,29,107,115,0
24,0,5,0.2,0,0,0.67,0.25,0.5,0.51,0.57,0.29,18.7,2.1,0,47,27.5,60,113,0
19.5,2.5,42.5,0.4,0.2,2,0.53,0.35,0.83,0.54,0.46,0.25,13.7,0.9,0.6,13.6,24.3,102,118,0
22,9,37.66666667,0.3,0.4,1.9,0.73,0.3,0.74,0.75,0,0.43,7.7,1.5,5.2,13.6,18.8,137,117,0
21,1,42.66666667,0.5,0.3,1.8,0.43,0.3,0.9,0.46,0.52,0.37,8.7,3.1,1.4,15.5,20.3,96,111,0
24,3.666666667,13.66666667,0.5,0.2,1.4,0.5,1,0.85,1.5,1,0.16,41.7,1.5,0.7,10.7,15.6,279,120,0
22.1,65,65.6,1.6,2.9,3,0.56,0.34,0.85,0.61,0.2,0.46,19,2.2,6.7,10.3,32.6,122,105,1
24.5,42,63.5,0.9,0.2,2.3,0.48,0.46,0.9,0.6,0.44,0.17,7.6,1.5,0.6,10,18,113,114,0
20.5,5.5,36.5,0.8,1.5,2.8,0.47,0.25,0.8,0.52,0.02,0.44,9.8,1.9,4.9,14.9,25.8,106,107,0
24.5,16.5,55.5,0.7,0.7,2.8,0.48,0.41,0.8,0.59,0.37,0.42,8.9,1.1,1.7,11.7,16.6,122,112,0
24,0,1,0,0,1,0.33,0.3,0.75,0.33,0,0,0,0,0,25,12,66,114,0
